ID,ControlGroupArea,Panel,OriginInterlocking,OriginSignal,Route,Exit,DestinationPlatform,DestinationLineName,DestinationDirectionOfMoveUpDn,Class,ARS,Notes,OverSetting,PreferredRouteOption,TipLocOriginate,RouteElectrified,OriginPlatform,TipLocDestination,TipLocIntermediate,EntryDateTime,TraversalTimes
543,CAG3,4,GA,S237,R237AM,S245,7,NULL,Dn,M,1,NULL,0,NULL,GTWK237,E,4,GTWK,NULL,2020-11-17 11:42:25.737,20
545,CAG3,4,GA,S237,R237BM,S241,6,NULL,Dn,M,1,NULL,0,NULL,GTWK237,E,4,GTWK,NULL,2020-11-17 11:42:25.737,20
547,CAG3,4,GA,S237,R237CM,S243,5,FL,Dn,M,1,NULL,0,NULL,GTWK237,E,4,GTWK,NULL,2020-11-17 11:42:25.737,20
548,CAG3,4,GA,S237,R237D1C,S247,3,SL,Dn,C,1,NULL,0,1,GTWK237,E,4,GTWK,NULL,2020-11-17 11:42:25.737,20
549,CAG3,4,GA,S237,R237D1M,S247,3,SL,Dn,M,1,NULL,1,1,GTWK237,E,4,GTWK,NULL,2020-11-17 11:42:25.737,20
550,CAG3,4,GA,S237,R237D2C,S247,3,SL,Dn,C,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,GTWK237,E,4,GTWK,NULL,2020-11-17 11:42:25.737,20
551,CAG3,4,GA,S237,R237D2M,S247,3,SL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,1,2,GTWK237,E,4,GTWK,NULL,2020-11-17 11:42:25.737,20
552,CAG3,4,GA,S237,R237E1C,S249,2,SL,Dn,C,1,NULL,0,1,GTWK237,E,4,GTWK,NULL,2020-11-17 11:42:25.737,20
553,CAG3,4,GA,S237,R237E1M,S249,2,SL,Dn,M,1,NULL,1,1,GTWK237,E,4,GTWK,NULL,2020-11-17 11:42:25.737,20
554,CAG3,4,GA,S237,R237E2C,S249,2,SL,Dn,C,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,GTWK237,E,4,GTWK,NULL,2020-11-17 11:42:25.737,20
555,CAG3,4,GA,S237,R237E2M,S249,2,SL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,1,2,GTWK237,E,4,GTWK,NULL,2020-11-17 11:42:25.737,20
557,CAG3,4,GA,S237,R237FM,S251,1,NULL,Dn,M,1,NULL,0,NULL,GTWK237,E,4,GTWK,NULL,2020-11-17 11:42:25.737,20
558,CAG3,4,GA,S239,R239AC,S247,3,SL,Dn,C,1,Cat 5,0,NULL,HORLEY,E,2,GTWK,NULL,2020-11-17 11:42:25.737,20
559,CAG3,4,GA,S239,R239AM,S247,3,SL,Dn,M,1,NULL,0,NULL,HORLEY,E,2,GTWK,NULL,2020-11-17 11:42:25.737,20
560,CAG3,4,GA,S239,R239B1C,S249,2,SL,Dn,C,1,NULL,0,1,HORLEY,E,2,GTWK,NULL,2020-11-17 11:42:25.737,20
561,CAG3,4,GA,S239,R239B1M,S249,2,SL,Dn,M,1,NULL,1,1,HORLEY,E,2,GTWK,NULL,2020-11-17 11:42:25.737,20
562,CAG3,4,GA,S239,R239B2C,S249,2,SL,Dn,C,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,HORLEY,E,2,GTWK,NULL,2020-11-17 11:42:25.737,20
563,CAG3,4,GA,S239,R239B2M,S249,2,SL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,1,2,HORLEY,E,2,GTWK,NULL,2020-11-17 11:42:25.737,20
565,CAG3,4,GA,S239,R239CM,S251,1,NULL,Dn,M,1,NULL,0,NULL,HORLEY,E,2,GTWK,NULL,2020-11-17 11:42:25.737,20
566,CAG3,4,GA,S241,R241AM,S253,NULL,FL,Dn,M,1,NULL,1,NULL,GTWK,E,6,TNSLYGJ,NULL,2020-11-17 11:42:25.737,20
567,CAG3,4,GA,S243,R243AM,S253,NULL,FL,Dn,M,1,NULL,1,NULL,GTWK,E,5,TNSLYGJ,NULL,2020-11-17 11:42:25.737,20
568,CAG3,4,GA,S244,R244AM,S240,NULL,FL,Up,M,1,NULL,1,NULL,GTWK,E,6,NULL,NULL,2020-11-17 11:42:25.737,20
569,CAG3,4,GA,S245,R245AM,S253,NULL,FL,Dn,M,1,NULL,1,NULL,GTWK,E,7,TNSLYGJ,NULL,2020-11-17 11:42:25.737,20
570,CAG3,4,GA,S246,R246AM,S240,NULL,FL,Up,M,1,NULL,1,NULL,GTWK,E,5,NULL,NULL,2020-11-17 11:42:25.737,20
571,CAG3,4,GA,S247,R247AM,S257,NULL,SL,Dn,M,1,NULL,1,NULL,GTWK,E,3,TNSLYGJ,NULL,2020-11-17 11:42:25.737,20
575,CAG3,4,GA,S248,R248AM,S240,NULL,FL,Up,M,1,NULL,1,NULL,GTWK,E,4,NULL,NULL,2020-11-17 11:42:25.737,20
576,CAG3,4,GA,S249,R249AM,S257,NULL,SL,Dn,M,1,NULL,1,NULL,GTWK,E,2,TNSLYGJ,NULL,2020-11-17 11:42:25.737,20
580,CAG3,4,GA,S250,R250AM,S242,NULL,SL,Up,M,1,NULL,1,NULL,GTWK,E,3,NULL,NULL,2020-11-17 11:42:25.737,20
581,CAG3,4,GA,S250,R250B1M,S240,NULL,FL,Up,M,1,NULL,1,1,GTWK,E,3,NULL,NULL,2020-11-17 11:42:25.737,20
582,CAG3,4,GA,S250,R250B2M,S240,NULL,FL,Up,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,1,2,GTWK,E,3,NULL,NULL,2020-11-17 11:42:25.737,20
583,CAG3,4,GA,S251,R251AM,S257,NULL,SL,Dn,M,1,NULL,1,NULL,GTWK,E,1,TNSLYGJ,NULL,2020-11-17 11:42:25.737,20
587,CAG3,4,GA,S252,R252AM,S242,NULL,SL,Up,M,1,NULL,1,NULL,GTWK,E,2,NULL,NULL,2020-11-17 11:42:25.737,20
588,CAG3,4,GA,S252,R252B1M,S240,NULL,FL,Up,M,1,NULL,1,1,GTWK,E,2,NULL,NULL,2020-11-17 11:42:25.737,20
589,CAG3,4,GA,S252,R252B2M,S240,NULL,FL,Up,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,1,2,GTWK,E,2,NULL,NULL,2020-11-17 11:42:25.737,20
590,CAG3,4,GA,S253,R253AM,S261,NULL,FL,Dn,M,1,NULL,1,NULL,TNSLYGJ,E,NULL,NULL,NULL,2020-11-17 11:42:25.737,20
592,CAG3,4,GA,S254,R254BM,S242,NULL,SL,Up,M,1,NULL,1,NULL,GTWK,E,1,NULL,NULL,2020-11-17 11:42:25.737,20
593,CAG3,4,GA,S254,R254CM,S240,NULL,FL,Up,M,1,NULL,1,NULL,GTWK,E,1,NULL,NULL,2020-11-17 11:42:25.737,20
595,CAG3,4,GA,S256,R256AM,S248,4,FL,Up,M,1,NULL,0,NULL,NULL,E,NULL,GTWK,NULL,2020-11-17 11:42:25.737,20
596,CAG3,4,GA,S256,R256AW,S248W,4,FL,Up,W,1,Cat 5,1,NULL,NULL,E,NULL,GTWK,NULL,2020-11-17 11:42:25.737,20
598,CAG3,4,GA,S256,R256BM,S246,5,FL,Up,M,1,NULL,0,NULL,NULL,E,NULL,GTWK,NULL,2020-11-17 11:42:25.737,20
600,CAG3,4,GA,S256,R256CM,S244,6,NULL,Up,M,1,NULL,0,NULL,NULL,E,NULL,GTWK,NULL,2020-11-17 11:42:25.737,20
601,CAG3,4,GA,S257,R257AM,S261,NULL,FL,Dn,M,1,NULL,1,NULL,TNSLYGJ,E,NULL,NULL,NULL,2020-11-17 11:42:25.737,20
602,CAG3,4,GA,S257,R257BM,S263,NULL,SL,Dn,M,1,NULL,1,NULL,TNSLYGJ,E,NULL,NULL,NULL,2020-11-17 11:42:25.737,20
604,CAG3,4,GA,S260,R260AM,S254,1,NULL,Up,M,1,NULL,1,NULL,NULL,E,NULL,GTWK,NULL,2020-11-17 11:42:25.737,20
605,CAG3,4,GA,S260,R260BC,S252,2,SL,Up,C,1,Cat 5,0,NULL,NULL,E,NULL,GTWK,NULL,2020-11-17 11:42:25.737,20
607,CAG3,4,GA,S260,R260CC,S250,3,SL,Up,C,1,Cat 5,0,NULL,NULL,E,NULL,GTWK,NULL,2020-11-17 11:42:25.737,20
608,CAG3,4,GA,S260,R260CM,S250,3,SL,Up,M,1,NULL,1,NULL,NULL,E,NULL,GTWK,NULL,2020-11-17 11:42:25.737,20
610,CAG3,4,GA,S262,R262AM,S254,1,NULL,Up,M,1,NULL,1,NULL,NULL,E,NULL,GTWK,NULL,2020-11-17 11:42:25.737,20
611,CAG3,4,GA,S262,R262BC,S252,2,SL,Up,C,1,NULL,0,NULL,NULL,E,NULL,GTWK,NULL,2020-11-17 11:42:25.737,20
612,CAG3,4,GA,S262,R262BM,S252,2,SL,Up,M,1,NULL,1,NULL,NULL,E,NULL,GTWK,NULL,2020-11-17 11:42:25.737,20
613,CAG3,4,GA,S262,R262CC,S250,3,SL,Up,C,1,NULL,0,NULL,NULL,E,NULL,GTWK,NULL,2020-11-17 11:42:25.737,20
614,CAG3,4,GA,S262,R262CM,S250,3,SL,Up,M,1,NULL,1,NULL,NULL,E,NULL,GTWK,NULL,2020-11-17 11:42:25.737,20
615,CAG3,4,GA,S264,R264AM,S262,NULL,NULL,Up,M,1,NULL,1,NULL,TNSLYGJ,E,NULL,NULL,NULL,2020-11-17 11:42:25.737,20
616,CAG3,4,GA,S264,R264BM,S260,NULL,SL,Up,M,1,NULL,1,NULL,TNSLYGJ,E,NULL,NULL,NULL,2020-11-17 11:42:25.737,20
617,CAG3,4,GA,S264,R264CM,S256,NULL,SL,Up,M,1,NULL,1,NULL,TNSLYGJ,E,NULL,NULL,NULL,2020-11-17 11:42:25.737,20
618,CAG3,4,GA,S266,R266AM,S262,NULL,NULL,Up,M,1,NULL,1,NULL,TNSLYGJ,E,NULL,NULL,NULL,2020-11-17 11:42:25.737,20
619,CAG3,4,GA,S266,R266BM,S260,NULL,SL,Up,M,1,NULL,1,NULL,TNSLYGJ,E,NULL,NULL,NULL,2020-11-17 11:42:25.737,20
620,CAG3,4,TB,S267,R267AM,S271,NULL,SL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,NULL,NULL,2020-11-17 11:42:25.737,20
622,CAG3,4,TB,S269,R269AM,S273,5,FL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
623,CAG3,4,TB,S269,R269BC,S277,3,SL,Dn,C,1,NULL,0,NULL,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
624,CAG3,4,TB,S269,R269BM,S277,3,SL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
625,CAG3,4,TB,S269,R269CC,S279,2,SL,Dn,C,1,NULL,0,NULL,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
626,CAG3,4,TB,S269,R269CM,S279,2,SL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
627,CAG3,4,TB,S269,R269DC,S281,1,NULL,Dn,C,1,NULL,0,NULL,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
628,CAG3,4,TB,S269,R269DM,S281,1,NULL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
630,CAG3,4,TB,S270,R270BM,S266,NULL,SL,Up,M,1,NULL,1,NULL,NULL,E,NULL,NULL,NULL,2020-11-17 11:42:25.737,20
631,CAG3,4,TB,S271,R271AC,S277,3,SL,Dn,C,1,NULL,0,NULL,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
632,CAG3,4,TB,S271,R271AM,S277,3,SL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
633,CAG3,4,TB,S271,R271B1C,S279,2,SL,Dn,C,1,NULL,0,1,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
634,CAG3,4,TB,S271,R271B1M,S279,2,SL,Dn,M,1,NULL,1,1,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
635,CAG3,4,TB,S271,R271B2C,S279,2,SL,Dn,C,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
636,CAG3,4,TB,S271,R271B2M,S279,2,SL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,1,2,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
637,CAG3,4,TB,S271,R271C1C,S281,1,NULL,Dn,C,1,NULL,0,1,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
638,CAG3,4,TB,S271,R271C1M,S281,1,NULL,Dn,M,1,NULL,1,1,NULL,E,NULL,THBDGS,NULL,2020-11-17 11:42:25.737,20
